product_name,total_price,unit_price,img,link,supermarket
Warburtons Weight Watchers Soft Medium Sliced Danish Malted Bread 400g,100.0,25p / 100g,https://assets.sainsburys-groceries.co.uk/gol/2407296/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/weight-watchers-malted-bread--danish-sliced-400g,Sainsburys
Warburtons Milk Roll Soft Medium Sliced White Bread 400g,100.0,25p / 100g,https://assets.sainsburys-groceries.co.uk/gol/2513140/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/warburtons-blackpool-milk-roll-400g,Sainsburys
Sainsbury's Farmhouse White Bread 400g,80.0,20p / 100g,https://assets.sainsburys-groceries.co.uk/gol/6539611/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-farmhouse-white-bread-400g-6539611-p,Sainsburys
Allinson The Champion Medium Sliced Wholemeal Bread 650g,140.0,22p / 100g,https://assets.sainsburys-groceries.co.uk/gol/7844456/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/allinson-classic-wholemeal-bread-650g,Sainsburys
Sainsbury's Kalamata Olive Bread Taste the Difference 400g,170.0,43p / 100g,https://assets.sainsburys-groceries.co.uk/gol/6767562/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-kalamata-olive-bread-taste-the-difference-400g-6767562-p,Sainsburys
Kingsmill Medium Sliced 50/50 Bread 400g,80.0,20p / 100g,https://assets.sainsburys-groceries.co.uk/gol/7554555/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kingsmill-50-50-bread-400g,Sainsburys
Warburtons Extra Thick Sliced White Bread 800g,110.0,14p / 100g,https://assets.sainsburys-groceries.co.uk/gol/2974750/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/warburtons-white-sliced-thickest-bread-800g,Sainsburys
Warburtons Premium Old English White Bread 400g,160.0,40p / 100g,https://assets.sainsburys-groceries.co.uk/gol/7714537/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/warburtons-old-english-white-bread-400g,Sainsburys
Rankin Selection Brown Soda Bread 400g,130.0,33p / 100g,https://assets.sainsburys-groceries.co.uk/gol/4049173/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/rankin-selection-brown-soda-bread-400g,Sainsburys
Kelderman German Style Rye Bread 400g,135.0,34p / 100g,https://assets.sainsburys-groceries.co.uk/gol/2453347/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kelderman-rye-bread--german-style-400g,Sainsburys
Hovis Medium Sliced Wheatgerm Bread 400g,95.0,24p / 100g,https://assets.sainsburys-groceries.co.uk/gol/3147573/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/hovis-wheatgerm-bread-400g,Sainsburys
Kingsmill No Crusts Medium Sliced 50/50 Bread 400g,140.0,35p / 100g,https://assets.sainsburys-groceries.co.uk/gol/6410184/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kingsmill-50-50-bread--crusts-away-400g,Sainsburys
Sainsbury's Thick Sliced Wholemeal Bread 800g,55.0,7p / 100g,https://assets.sainsburys-groceries.co.uk/gol/315289/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-thick-sliced-wholemeal-bread-800g,Sainsburys
Kingsmill No Crusts Soft Medium Sliced White Bread 400g,140.0,35p / 100g,https://assets.sainsburys-groceries.co.uk/gol/6410181/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/km-crustaway-white-bread-400g,Sainsburys
"Sainsbury's Multiseed Thick Sliced Wholemeal Bread, SO Organic 400g",110.0,28p / 100g,https://assets.sainsburys-groceries.co.uk/gol/6334005/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-multiseeded-wholemeal-bread--so-organic-400g,Sainsburys
Kingsmill 50/50 Medium Bread 800G,85.0,£0.11/100g,https://img.tesco.com/Groceries/pi/441/5010092093441/IDShot_225x225.jpg,https://www.tesco.com/groceries/en-GB/products/261738730,Tesco
Hovis Soft White Medium Bread 800G,109.0,£0.14/100g,https://img.tesco.com/Groceries/pi/131/5010003000131/IDShot_225x225.jpg,https://www.tesco.com/groceries/en-GB/products/256174499,Tesco
Hovis Original 7 Seeds Bread 800G,160.0,£0.20/100g,https://img.tesco.com/Groceries/pi/744/5010003064744/IDShot_225x225.jpg,https://www.tesco.com/groceries/en-GB/products/274811214,Tesco
Hovis Soft White Thick Bread 800G,110.0,£0.14/100g,https://img.tesco.com/Groceries/pi/226/5010003054226/IDShot_225x225.jpg,https://www.tesco.com/groceries/en-GB/products/254550817,Tesco
Tesco White Bread 800G,59.0,£0.07/100g,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tesco.com/groceries/en-GB/products/299389116,Tesco
Warburtons Toastie Sliced White Bread 800G,110.0,£0.14/100g,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tesco.com/groceries/en-GB/products/254942348,Tesco
Tesco Finest Super Seeded Farmhouse Loaf 800G,110.0,£0.14/100g,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tesco.com/groceries/en-GB/products/300134417,Tesco
Warburtons Farmhouse White Bread 800G,120.0,£0.15/100g,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tesco.com/groceries/en-GB/products/250168194,Tesco
Tesco Toastie White Bread Thick 800G,59.0,£0.07/100g,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tesco.com/groceries/en-GB/products/299425748,Tesco
Hovis Wholemeal Medium Bread 800G,110.0,£0.14/100g,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tesco.com/groceries/en-GB/products/255000362,Tesco
Warburtons Seeded Batch Bread 800G,140.0,£0.18/100g,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tesco.com/groceries/en-GB/products/257269645,Tesco
Warburtons Medium Sliced White Bread 800G,110.0,£0.14/100g,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tesco.com/groceries/en-GB/products/254942325,Tesco
Tesco Crusty White Farmhouse Sliced Bread 800G,110.0,£0.14/100g,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tesco.com/groceries/en-GB/products/250759508,Tesco
Hovis Granary Thick Bread 800G,150.0,£0.19/100g,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tesco.com/groceries/en-GB/products/250871708,Tesco
Tesco Finest White Loaf 800G,110.0,£0.14/100g,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tesco.com/groceries/en-GB/products/300134399,Tesco
Tesco Tiger Sliced Loaf 800G,110.0,£0.14/100g,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tesco.com/groceries/en-GB/products/256334800,Tesco
Hovis Best Of Both Medium White Bread 750G,110.0,£0.15/100g,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tesco.com/groceries/en-GB/products/279505857,Tesco
Kingsmill 50/50 Thick Bread 800G,85.0,£0.11/100g,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tesco.com/groceries/en-GB/products/252065992,Tesco
Tesco Finest Oat & Barley Loaf 800G,110.0,£0.14/100g,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tesco.com/groceries/en-GB/products/300134439,Tesco
Tesco Multiseed Batch 800G,85.0,£0.11/100g,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tesco.com/groceries/en-GB/products/300134671,Tesco
Tesco Wholemeal Medium Bread 800G,59.0,£0.07/100g,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tesco.com/groceries/en-GB/products/299425783,Tesco
Tesco Crusty White Farmhouse Sliced Bread 400G,79.0,£0.20/100g,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tesco.com/groceries/en-GB/products/258081588,Tesco
Kingsmill Soft White Medium 800g,95.0,£0.12/100g,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tesco.com/groceries/en-GB/products/259804954,Tesco
Hovis Wholemeal Thick Bread 800G,110.0,£0.14/100g,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tesco.com/groceries/en-GB/products/263518014,Tesco
Cadbury Dairy Milk Orange Fingers Chocolate Biscuits 114g,150.0,£1.32 / 100g,https://assets.sainsburys-groceries.co.uk/gol/8052480/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-dairy-milk-orange-fingers-chocolate-biscuits-114g,Sainsburys
Pico Fairtrade Organic Hazelnut Milk Chocolate Bar 80g,245.0,£3.06 / 100g,https://assets.sainsburys-groceries.co.uk/gol/8004769/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/pico-fairtrade-organic-hazelnut-milk-chocolate-bar-80g,Sainsburys
Maltesers Chocolate Pouch Bag 102g,150.0,£1.47 / 100g,https://assets.sainsburys-groceries.co.uk/gol/7073459/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/maltesers-pouch-121g,Sainsburys
Cadbury Mini Eggs Giant Easter Egg 231g,400.0,£1.73 / 100g,https://assets.sainsburys-groceries.co.uk/gol/7609189/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-mini-eggs-gift-boxed-easter-egg-286g-check-your-local-store-for-available-range-,Sainsburys
Cadbury Dairy Milk Large Easter Egg 286g,400.0,£1.40 / 100g,https://assets.sainsburys-groceries.co.uk/gol/7609183/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-dairy-milk-gift-boxed-easter-egg-331g-check-your-local-store-for-available-range-,Sainsburys
Cadbury Flake Easter Egg 249g,400.0,£1.61 / 100g,https://assets.sainsburys-groceries.co.uk/gol/7767766/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-flake-gift-boxed-easter-egg-294g-check-your-local-store-for-available-range-,Sainsburys
Cadbury Dairy Milk Chocolate Bar 200g,200.0,£1.00 / 100g,https://assets.sainsburys-groceries.co.uk/gol/2011547/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-dairy-milk-200g,Sainsburys
Cadbury Dairy Milk Giant Chocolate Buttons Bag 119g,100.0,84p / 100g,https://assets.sainsburys-groceries.co.uk/gol/7073532/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-dairy-milk-giant-buttons-119g,Sainsburys
"Sainsbury's Dark Chocolate, Basics 100g",30.0,30p / 100g,https://assets.sainsburys-groceries.co.uk/gol/6284774/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-dark-chocolate--basics-100g,Sainsburys
"Sainsbury's Milk Chocolate, Basics 100g",30.0,30p / 100g,https://assets.sainsburys-groceries.co.uk/gol/6284765/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-milk-chocolate--basics-100g,Sainsburys
KitKat 2 Finger Milk Chocolate Biscuit Bar Multipack 9x20.7g,150.0,80p / 100g,https://assets.sainsburys-groceries.co.uk/gol/7876413/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kit-kat-2-finger-milk-chocolate-biscuit-bar-multipack-x9-207g-7876413-p,Sainsburys
